136.7906 36.738 WI N.TBTH HHZ 0.017
134.5423 34.9313 WI N.SGUH HHZ -0.03
134.2351 35.5179 WI DP.TTT HHZ 0.01
133.0615 34.9169 WI DP.ST38 HHZ 0.42
132.748 33.5022 WI N.KWBH HHZ 0.089
136.4245 34.8224 WI N.GNOH HHZ -0.123
132.6411 34.2883 WI N.KURH HHZ 0.128
136.7176 37.1902 WI N.TGIH HHZ -0.062
137.9034 34.7948 WI N.FKRH HHZ -0.429
131.4429 33.4581 WI N.YMGH HHZ 0.067
132.6011 33.5807 WI N.OOZH HHZ 0.108
137.9236 35.8315 WI N.INHH HHZ 0.588
135.9919 35.1315 WI DP.BWE2 HHZ 0.089
135.4063 35.0534 WI DP.BWA7 HHZ 0.32
131.5618 34.0494 WI N.HOFH HHZ -0.165
135.8541 34.5843 WI N.TRIH HHZ 0.028
135.6993 35.2136 WI DP.KK07 HHZ 0.333
133.3949 33.9642 WI KC.DOI HHZ 0.12
134.5953 35.4697 WI N.MROH HHZ 0.123
135.8361 33.5202 WI GS.KST2 HHZ -0.171
133.158 35.5619 WI DP.ST40 HHZ 0.002
133.0412 35.4076 WI DP.ST05 HHZ 0.088
137.595 35.9324 WI N.KADH HHZ 1.048
135.8539 35.1899 WI GS.HNO HHZ 0.205
137.4366 35.7828 WI DP.OT52 HHZ 1.286
135.8124 35.1963 WI DP.KK23 HHZ 0.636
133.4648 35.1921 WI DP.ST21 HHZ 0.426
133.116 33.2388 WI KC.KUB HHZ 0.25
137.5923 36.9239 WI DP.AHJ HHZ 0.23
135.6001 33.5153 WI E.ESM HHZ 0.01
135.9531 33.6554 WI E.KTU HHZ 0.05
135.807 35.1561 WI DP.BWC3 HHZ 0.55
131.1414 34.7827 WI HAGIMI HHZ 0.019
137.7346 35.4786 WI N.AC2H HHZ 0.703
133.0226 35.5232 WI N.KSIH HHZ -0.084
134.8415 34.9858 WI KASAI HHZ 0.15
135.4396 33.6894 WI N.KTDH HHZ -0.078
134.1741 33.265 WI KC.MUT HHZ 0.14
137.3984 36.4891 WI DP.SNB HHZ 1.42
131.5665 33.6357 WI KUNIMI HHZ 0.12
134.6701 35.0322 WI N.YMSH HHZ 0.06
134.6439 33.8047 WI E.MJY HHZ 0.38
136.3293 34.358 WI N.MGWH HHZ 0.028
134.3043 34.2264 WI N.OHCH HHZ -0.071
132.9524 33.0754 WI N.NAKH HHZ -0.069
137.7268 35.184 WI N.TYEH HHZ 0.652
137.1815 36.3512 WI DP.SGR HHZ 0.085
132.909 35.0462 WI DP.ST10-2 HHZ 0.563
131.6681 34.6257 WI N.TMGH HHZ -0.09
137.5109 34.805 WI N.MKBH HHZ -0.039
137.4706 35.4571 WI N.NTGH HHZ 0.038
135.3292 34.2823 WI GS.NGR HHZ -0.527
137.5661 35.8974 WI DP.OT71 HHZ 1.342
135.4841 35.4907 WI N.TKHH HHZ 0.059
131.3473 33.1306 WI N.SNIH HHZ 0.273
136.8509 35.2177 WI N.KYSH HHZ -0.734
135.6822 34.6568 WI HEGURI HHZ 0.26
135.46769 34.92863 WI DP.MYO HHZ 0.64
135.835 34.9162 WI DP.BWE5 HHZ 0.178
135.4483 34.3228 WI N.NAGH HHZ 0.448
132.8909 35.4871 WI DP.ST02 HHZ 0.082
132.7977 35.0782 WI DP.ST47 HHZ 0.446
137.4393 34.7853 WI N.THNH HHZ -0.171
133.8192 33.5294 WI N.GSIH HHZ -0.132
137.424 36.6705 WI N.KHTH HHZ 0.238
134.8287 34.1652 WI E.NSM HHZ 0.119
135.6911 35.1447 WI DP.KK24 HHZ 0.378
133.1737 35.3201 WI DP.ST26 HHZ 0.073
135.7165 35.1143 WI DP.BWC4 HHZ 0.272
137.3359 35.1392 WI N.ASUH HHZ 0.029
136.6127 35.5214 WI N.TNMH HHZ -0.029
137.1495 35.8991 WI N.MZEH HHZ 0.461
135.7266 35.4573 WI N.OBMH HHZ -0.063
135.2836 34.3977 WI N.TJRH HHZ -1.495
132.622 33.217 WI HIROMI HHZ 0.45
135.8187 35.2648 WI DP.KK19 HHZ 0.266
137.1983 36.2448 WI N.FRKH HHZ 0.47
135.4846 35.0469 WI N.KMEH HHZ 0.073
131.1348 33.5925 WI N.BZNH HHZ -0.269
134.947 34.5501 WI DP.TOS2 HHZ -1.694
137.5492 35.8436 WI DP.OT68 HHZ 1.317
133.4372 35.2613 WI DP.ST19 HHZ 0.38
134.1603 33.2866 WI N.MURH HHZ -0.212
133.7902 34.063 WI DP.IKD HHZ 0.34
